ID,Tipo,Mag,Prob,RA,DEC
261,Supernova,21.99,88,23:00:46,-19:16:01
262,Quasar,12.91,20,13:17:34,+19:39:35
263,GRB,21.56,35,14:14:20,+26:46:38
264,GRB,12.69,68,03:18:40,-85:17:41
265,Ruido,18.85,96,19:29:03,-87:04:20
266,Variable_Star,18.82,100,04:42:56,+06:20:11
267,Quasar,21.83,98,12:08:02,-56:18:20
268,Quasar,15.35,63,13:08:19,+03:57:48
269,Variable_Star,21.74,89,21:34:34,+71:45:17
270,Quasar,14.93,62,00:09:36,-89:40:44
271,GRB,20.61,5,09:43:23,-85:17:31
272,Supernova,20.06,48,03:22:26,-81:16:01
273,Ruido,13.77,78,21:01:04,+05:03:14
274,GRB,12.77,91,21:07:46,+77:31:30
275,Supernova,17.55,79,20:54:35,-33:04:58
276,Ruido,13.24,25,19:44:25,+12:39:27
277,Ruido,13.88,52,21:19:35,+51:11:43
278,Variable_Star,13.30,24,01:26:48,+62:17:42
279,Variable_Star,18.13,78,09:22:54,+29:10:39
280,GRB,19.45,31,13:23:29,-79:15:49
281,Ruido,12.48,1,09:36:08,+23:39:35
282,Variable_Star,17.08,89,03:57:30,+74:22:52
283,Quasar,12.35,5,11:07:48,+49:40:11
284,Supernova,19.40,45,02:24:29,-72:46:06
285,Supernova,16.13,76,20:50:16,+41:58:13
286,Supernova,20.96,59,02:42:37,-59:10:45
287,Quasar,21.50,43,03:13:10,+20:18:34
288,GRB,16.18,35,05:40:45,+85:30:36
289,Supernova,14.41,59,11:28:29,-80:35:11
290,Ruido,19.59,37,10:44:19,+65:53:32
291,GRB,17.12,86,14:37:16,+82:50:56
292,Ruido,20.13,45,07:03:41,+76:31:09
293,Variable_Star,17.78,76,14:15:30,+86:41:14
294,Supernova,17.61,14,20:35:39,+36:12:16
295,Quasar,13.57,11,22:52:55,-23:12:59
296,GRB,13.35,51,05:32:05,+87:09:20
297,Variable_Star,13.32,4,17:26:36,+69:16:11
298,Variable_Star,21.86,40,19:57:33,+79:53:26
299,Quasar,14.63,65,20:19:47,-24:33:19
300,Variable_Star,17.51,48,19:02:36,+62:47:02
301,Variable_Star,18.81,33,15:13:18,-82:02:16
302,Ruido,21.90,17,00:51:25,+33:43:45
303,Variable_Star,12.95,32,19:33:52,-40:21:55
304,Quasar,14.02,72,22:39:23,-42:17:37
305,Variable_Star,15.43,67,20:56:39,-84:59:31
306,Variable_Star,18.71,25,05:08:20,+09:56:53
307,Variable_Star,14.20,25,08:06:27,-77:03:06
308,Variable_Star,15.26,40,02:54:44,+48:46:41
309,Variable_Star,20.09,68,22:16:20,-53:30:29
310,Variable_Star,12.56,42,10:29:38,+35:50:45
311,GRB,21.18,82,06:23:08,+28:29:03
312,Variable_Star,14.57,83,02:41:38,+48:38:54
313,GRB,20.49,41,14:23:28,-86:50:57
314,Ruido,17.44,80,10:41:42,-46:57:06
315,Supernova,18.15,60,10:01:51,-43:06:32
316,Quasar,20.84,18,19:59:01,-50:36:25
317,Ruido,18.27,27,15:17:49,-11:43:31
318,GRB,21.76,47,06:21:05,+64:47:06
319,Ruido,12.63,22,06:57:06,-12:46:06
320,Variable_Star,21.96,71,21:41:19,-60:19:37
321,Quasar,19.74,36,12:55:20,+86:11:41
322,GRB,12.58,50,04:46:33,-19:01:31
323,Variable_Star,16.58,30,14:55:17,-34:49:58
324,Ruido,21.91,31,06:58:05,+24:29:01
325,Quasar,16.73,21,16:32:16,-60:43:02
326,Ruido,13.18,6,06:37:31,+10:13:27
327,Quasar,17.45,27,20:11:15,-64:28:14
328,Supernova,13.06,74,06:04:12,-05:45:44
329,Ruido,21.25,47,19:39:35,+65:55:12
330,Supernova,16.76,44,20:19:58,-70:09:10
331,Supernova,15.15,64,14:33:44,-28:48:49
332,Variable_Star,14.85,58,07:02:30,+48:49:09
333,Supernova,18.98,8,13:05:33,+89:55:53
334,Quasar,12.45,5,03:25:22,+53:01:55
335,Variable_Star,15.78,73,08:55:00,+81:13:02
336,Variable_Star,21.97,89,14:20:34,+36:54:40
337,Supernova,21.05,60,03:53:38,-54:02:03
338,Variable_Star,20.35,9,11:22:28,-51:45:24
339,Supernova,19.03,63,06:09:37,-61:47:58
340,Ruido,16.89,89,09:45:47,-88:54:40
341,Ruido,13.06,72,17:40:33,+57:09:55
342,Supernova,15.84,68,16:36:22,-32:53:32
343,Quasar,12.59,33,22:48:49,+57:12:34
344,Ruido,14.26,47,06:53:34,+89:36:15
345,Variable_Star,16.31,42,11:43:48,-62:25:25
346,Variable_Star,19.43,32,02:41:22,-16:37:10
347,Supernova,16.46,39,19:03:37,-41:20:30
348,Quasar,15.37,11,02:53:32,+06:21:16
349,Supernova,17.23,69,18:03:25,-76:09:07
350,Variable_Star,17.64,76,15:47:12,-85:35:15
351,Ruido,20.76,60,03:43:55,-42:50:49
352,Quasar,15.84,18,02:43:42,+49:29:46
353,Supernova,17.74,93,08:02:29,-74:40:16
354,Supernova,19.06,88,13:21:45,-64:30:29
355,GRB,19.80,33,21:35:43,-76:41:26
356,Ruido,16.65,94,13:40:30,-05:00:32
357,Quasar,13.02,22,05:23:55,-69:56:16
358,Quasar,12.91,79,08:10:34,+36:03:10
359,Variable_Star,13.41,86,20:55:19,+54:28:59
360,Supernova,21.55,0,20:54:06,-77:09:30
361,GRB,14.80,45,06:09:32,-77:31:42
362,Ruido,14.25,77,19:38:54,+30:30:50
363,Quasar,15.10,31,23:37:16,+87:28:11
364,GRB,17.50,34,14:33:37,-83:49:46
365,Variable_Star,21.04,30,06:32:31,-80:21:10
366,Quasar,12.28,69,19:01:59,-68:00:36
367,Supernova,21.90,9,13:04:38,+76:40:11
368,Variable_Star,19.20,2,07:18:55,+24:35:28
369,GRB,18.54,84,08:37:51,-87:25:52
370,GRB,17.55,89,15:56:52,+39:31:57
371,Supernova,16.50,63,13:59:21,+13:19:39
372,Variable_Star,21.59,25,23:07:54,+56:27:31
373,Ruido,16.81,97,13:29:31,-11:07:27
374,Supernova,20.46,100,06:12:26,+72:45:26
375,Supernova,15.35,77,21:50:43,-61:48:50
376,GRB,18.29,30,14:18:47,+10:51:16
377,GRB,15.06,41,13:37:15,+06:53:27
378,Quasar,19.94,22,09:03:33,-58:57:23
379,Quasar,13.30,20,17:11:50,-81:47:08
380,Quasar,15.57,0,02:26:18,+05:58:55
381,Ruido,17.14,83,05:29:37,-08:54:40
382,GRB,12.87,64,09:59:45,+20:44:57
383,Variable_Star,19.92,76,14:37:07,+17:45:33
384,Quasar,14.80,53,20:03:02,+29:18:32
385,Supernova,19.61,44,22:46:31,+15:10:31
386,Supernova,19.89,26,07:14:03,-76:49:41
387,GRB,16.27,43,17:20:42,-40:10:46
388,Supernova,20.46,7,20:07:50,-35:04:36
389,Quasar,18.72,79,08:01:34,+22:20:49
390,Ruido,16.22,65,08:37:04,+53:21:24
391,Variable_Star,18.46,59,06:58:26,-25:50:33
392,Supernova,13.45,65,19:59:19,+18:21:20
393,GRB,21.76,69,23:39:06,+26:00:43
394,Ruido,20.13,9,03:19:44,+38:36:42
395,GRB,21.72,55,17:10:41,-25:59:40
396,Ruido,17.89,3,00:46:00,+38:46:39
397,Quasar,16.15,68,13:07:29,+26:15:48
398,Supernova,21.71,42,02:07:23,+27:50:34
399,Supernova,13.95,55,00:52:08,-80:54:54
400,GRB,18.16,69,17:26:05,-18:59:13
401,Quasar,18.42,49,16:01:27,-67:07:34
402,Variable_Star,19.83,41,02:07:36,+25:09:29
403,Ruido,14.14,38,16:16:00,-22:00:26
404,Variable_Star,16.08,44,17:18:04,-55:00:06
405,Ruido,13.34,24,05:39:01,+26:44:09
406,Supernova,15.88,31,17:10:31,-68:52:48
407,GRB,14.52,81,13:43:13,-89:26:31
408,GRB,18.38,52,04:17:39,-11:31:18
409,Variable_Star,13.76,5,14:25:26,+77:10:37
410,Variable_Star,14.97,49,06:25:44,-78:59:28
411,Supernova,12.07,92,19:05:33,-32:17:50
412,Quasar,19.39,37,07:12:33,-26:49:58
413,Quasar,19.59,15,10:12:27,+74:28:52
414,Ruido,17.43,88,03:49:52,-82:37:58
415,Ruido,21.59,27,10:56:00,+58:14:13
416,Supernova,17.98,4,08:24:48,+02:49:01
417,Quasar,19.44,50,20:24:02,+38:32:52
418,Variable_Star,17.84,50,13:11:27,+61:38:24
419,Quasar,16.58,64,01:50:14,-69:11:38
420,Quasar,19.06,47,22:40:12,-11:30:37
421,Variable_Star,14.21,15,08:48:44,+62:22:55
422,Supernova,14.18,56,16:04:00,-28:08:50
423,Variable_Star,14.61,4,05:11:44,+35:07:25
424,Quasar,17.68,93,12:02:08,+32:23:57
425,Variable_Star,14.37,34,08:32:33,+71:14:37
426,Quasar,17.91,77,18:10:01,+54:24:12
427,Variable_Star,12.98,34,23:00:54,+70:32:57
428,GRB,14.14,35,00:37:35,-30:58:07
429,Quasar,20.64,37,12:46:57,-38:31:08
430,Supernova,15.33,54,12:52:38,+68:50:38
431,Ruido,19.44,18,17:47:23,-73:47:01
432,Ruido,13.25,100,19:01:51,-58:32:37
433,GRB,20.28,16,06:08:29,+58:40:22
434,Variable_Star,17.61,23,02:21:58,-39:05:45
435,Ruido,13.96,54,16:52:40,+36:41:41
436,Variable_Star,20.71,22,04:00:03,-27:17:12
437,Quasar,13.21,89,05:34:26,-09:41:47
438,Variable_Star,21.79,90,04:39:05,+40:22:58
439,Supernova,12.71,66,01:37:31,-35:49:32
440,Supernova,13.70,85,13:01:57,-10:14:32
441,Quasar,19.00,24,16:07:13,+15:18:52
442,Ruido,12.35,25,15:25:19,-35:30:56
443,Quasar,20.20,77,09:10:56,-50:44:57
444,GRB,13.96,20,17:05:54,+87:46:01
445,Supernova,15.68,33,01:02:22,-31:41:48
446,Ruido,21.97,31,14:50:08,-24:12:18
447,Supernova,16.44,6,06:38:15,-07:22:20
448,Supernova,15.66,13,09:34:29,+41:39:32
449,GRB,21.83,23,21:38:14,-52:14:04
450,Supernova,18.05,28,15:54:43,+40:10:21
451,Quasar,18.37,75,08:00:06,-07:23:40
452,Quasar,13.21,33,12:13:18,+43:07:57
453,Quasar,15.36,18,01:41:47,-31:20:42
454,GRB,12.77,88,10:03:30,-60:23:30
455,Supernova,20.60,91,23:49:01,-37:19:14
456,Ruido,12.77,37,13:03:42,+44:05:23
457,Variable_Star,16.28,74,05:28:49,-68:54:52
458,Ruido,12.74,27,03:21:08,-80:19:57
459,GRB,18.21,29,08:14:22,+37:47:25
460,Variable_Star,17.46,52,19:05:57,+09:19:26
461,Supernova,16.56,34,05:05:24,+04:14:46
462,Ruido,15.07,9,14:23:42,+74:44:56
463,Supernova,16.45,75,16:51:17,-50:40:22
464,GRB,14.21,71,14:35:09,+80:50:15
465,Supernova,15.60,51,03:01:48,-50:38:12
466,Quasar,17.50,95,21:49:23,+23:32:15
467,Quasar,19.60,93,07:56:08,-89:32:44
468,GRB,16.95,57,10:51:55,+78:59:57
469,Ruido,14.13,59,23:09:08,+73:02:58
470,Supernova,18.72,50,13:35:15,-05:53:12
471,Ruido,20.96,75,08:04:14,+76:30:05
472,Quasar,16.41,8,19:11:18,-19:09:27
473,Variable_Star,12.64,49,12:21:09,-89:55:45
474,Supernova,15.95,65,11:01:32,-50:22:36
475,Variable_Star,15.00,11,13:09:33,+28:57:44
476,Quasar,15.60,91,09:53:58,+73:24:19
477,GRB,16.12,25,19:41:38,-04:09:39
478,GRB,15.87,3,15:51:20,+45:25:29
479,Supernova,12.80,46,01:02:49,+83:26:42
480,Quasar,15.55,11,06:25:31,+02:15:12
481,GRB,19.36,38,19:45:45,+65:23:37
482,Supernova,13.45,4,16:27:07,-63:30:09
483,Quasar,16.75,61,16:24:57,+54:40:23
484,Supernova,13.90,65,13:21:23,+75:10:08
485,Ruido,12.44,54,07:14:40,-29:56:08
486,Variable_Star,12.94,65,15:03:07,-47:45:31
487,Supernova,17.51,20,14:52:23,-46:25:44
488,Ruido,15.40,93,18:01:58,-34:19:12
489,Quasar,18.67,15,03:08:15,+51:45:18
490,Quasar,12.03,6,10:12:37,+26:48:29
491,GRB,12.54,92,18:41:15,+38:28:16
492,Ruido,19.83,60,21:46:16,-81:55:24
493,Supernova,19.03,17,14:36:10,+33:03:22
494,Supernova,18.97,18,19:44:14,+39:31:55
495,Quasar,14.39,40,06:55:10,+65:49:57
496,GRB,20.77,88,12:10:34,+37:48:11
497,Quasar,16.90,24,06:47:56,-10:35:40
498,Ruido,15.14,20,14:17:26,-88:33:21
499,GRB,16.12,19,03:32:03,-84:05:14
500,Ruido,19.93,5,19:40:32,-80:56:20
501,GRB,15.84,93,16:04:14,+69:41:32
502,Supernova,19.07,8,16:54:29,+69:03:02
503,Quasar,12.96,12,04:42:55,-45:31:35
504,Ruido,17.92,53,03:35:54,-81:16:59
505,Supernova,13.63,68,19:29:23,+74:11:17
506,Variable_Star,12.75,34,10:01:26,+13:13:09
507,Variable_Star,16.75,69,02:15:16,+21:23:52
508,Variable_Star,16.45,15,12:44:18,-55:34:48
509,Variable_Star,16.83,100,20:53:04,-51:20:05
510,Ruido,21.19,32,19:24:47,+00:30:03
511,Ruido,13.21,45,15:39:53,+56:10:38
512,GRB,15.71,21,22:57:41,+77:49:35
513,GRB,12.43,93,02:42:50,-14:30:15
514,Supernova,12.21,77,06:48:53,+43:27:32
515,Ruido,14.78,72,06:24:05,-02:20:02
516,GRB,14.72,87,18:16:54,+36:22:36
517,Variable_Star,20.05,12,19:01:08,+14:18:57
518,Variable_Star,12.54,42,00:41:41,+39:58:06
519,Quasar,16.68,44,20:39:42,+37:25:59
520,Ruido,13.30,37,05:40:10,-26:29:12
521,Variable_Star,12.70,52,11:32:34,+68:32:15
522,Variable_Star,14.61,24,16:03:42,-68:54:21
523,Quasar,18.18,79,19:14:55,-55:28:35
524,Supernova,20.26,9,13:19:09,-74:47:41
525,Ruido,18.74,24,22:15:30,-61:55:33
526,Quasar,12.56,47,05:53:05,-86:43:19
527,Quasar,21.16,80,13:17:37,+24:51:57
528,Ruido,21.52,75,11:36:25,+42:32:40
529,Supernova,18.99,61,19:34:39,-41:48:33
530,Supernova,20.29,27,16:46:11,-02:19:28
531,GRB,21.54,34,01:45:17,+56:14:54
532,Supernova,21.85,44,21:13:08,+02:01:42
